"id","sentiment_score","brand"
1,-3,"Starbucks"
2,-0.5,"Starbucks"
3,0,"Starbucks"
4,0,"Starbucks"
5,0,"Starbucks"
6,0,"Starbucks"
8,1,"Starbucks"
9,1,"Starbucks"
12,0,"Starbucks"
14,-1,"Starbucks"
15,3,"Starbucks"
16,2,"Starbucks"
17,3,"Starbucks"
19,2,"Starbucks"
20,0,"Starbucks"
22,1.5,"Starbucks"
23,0.666666666666667,"Starbucks"
25,0,"Starbucks"
26,1,"Starbucks"
27,2,"Starbucks"
30,-3.33333333333333,"Starbucks"
32,-2.5,"Starbucks"
34,-3,"Starbucks"
36,2,"Starbucks"
37,0,"Starbucks"
38,2,"Starbucks"
39,0.666666666666667,"Starbucks"
40,-2,"Starbucks"
41,1,"Starbucks"
42,0.666666666666667,"Starbucks"
45,4,"Starbucks"
47,1,"Starbucks"
48,0.666666666666667,"Starbucks"
49,1,"Starbucks"
50,-1,"Starbucks"
51,3,"Starbucks"
52,3,"Starbucks"
53,2,"Starbucks"
57,1,"Starbucks"
60,-4,"Starbucks"
61,1,"Starbucks"
62,0,"Starbucks"
64,0,"Starbucks"
65,2,"Starbucks"
66,0.666666666666667,"Starbucks"
68,-3,"Starbucks"
69,-1,"Starbucks"
70,2.5,"Starbucks"
72,1.5,"Starbucks"
73,0,"Starbucks"
74,1.5,"Starbucks"
75,1,"Starbucks"
76,0,"Starbucks"
77,1,"Starbucks"
78,0,"Starbucks"
80,0,"Starbucks"
81,0,"Starbucks"
82,0.666666666666667,"Starbucks"
85,0,"Starbucks"
86,4,"Starbucks"
87,0.666666666666667,"Starbucks"
88,-3,"Starbucks"
89,0,"Starbucks"
90,2,"Starbucks"
91,2,"Starbucks"
93,0,"Starbucks"
94,1,"Starbucks"
95,0,"Starbucks"
96,0,"Starbucks"
97,0,"Starbucks"
99,0,"Starbucks"
100,0,"Starbucks"
101,0,"Starbucks"
103,0,"Starbucks"
104,3,"Starbucks"
105,0,"Starbucks"
106,1,"Starbucks"
107,2,"Starbucks"
110,4,"Starbucks"
111,4,"Starbucks"
112,2.5,"Starbucks"
113,0,"Starbucks"
115,-1,"Starbucks"
116,1.5,"Starbucks"
117,4,"Starbucks"
119,2,"Starbucks"
121,2.33333333333333,"Starbucks"
122,2,"Starbucks"
124,2,"Starbucks"
125,-1,"Starbucks"
126,-1.5,"Starbucks"
127,3,"Starbucks"
128,-2,"Starbucks"
130,-3,"Starbucks"
131,3,"Starbucks"
133,2.33333333333333,"Starbucks"
137,1.5,"Starbucks"
140,-3,"Starbucks"
141,1,"Starbucks"
142,-2.5,"Starbucks"
143,-1,"Starbucks"
144,-4,"Starbucks"
146,1,"Starbucks"
148,-4,"Starbucks"
149,2,"Starbucks"
151,3,"Starbucks"
152,-1,"Starbucks"
153,1,"Starbucks"
154,0.5,"Starbucks"
155,-0.5,"Starbucks"
157,2.33333333333333,"Starbucks"
158,-0.666666666666667,"Starbucks"
159,2.33333333333333,"Starbucks"
161,-1,"Starbucks"
162,2.33333333333333,"Starbucks"
163,3,"Starbucks"
165,4,"Starbucks"
166,1,"Starbucks"
167,-1,"Starbucks"
168,1,"Starbucks"
170,2.5,"Starbucks"
172,2,"Starbucks"
175,4,"Starbucks"
176,1.5,"Starbucks"
178,2,"Starbucks"
188,2,"Starbucks"
189,-1,"Starbucks"
190,1,"Starbucks"
191,4,"Starbucks"
193,2,"Starbucks"
194,1,"Starbucks"
195,2,"Starbucks"
196,-2,"Starbucks"
197,2.5,"Starbucks"
201,3,"Starbucks"
202,2,"Starbucks"
203,2,"Starbucks"
205,2,"Starbucks"
206,2,"Starbucks"
208,2.5,"Starbucks"
209,2.5,"Starbucks"
210,2.5,"Starbucks"
211,2,"Starbucks"
212,-1,"Starbucks"
213,-1,"Starbucks"
214,3,"Starbucks"
216,2,"Starbucks"
218,-1.66666666666667,"Starbucks"
220,3,"Starbucks"
221,0.5,"Starbucks"
222,1.5,"Starbucks"
224,2,"Starbucks"
226,-3,"Starbucks"
229,-1,"Starbucks"
230,1,"Starbucks"
231,-1.5,"Starbucks"
232,2,"Starbucks"
233,0,"Starbucks"
234,3,"Starbucks"
237,4,"Starbucks"
238,1.5,"Starbucks"
239,-1,"Starbucks"
245,1.5,"Starbucks"
246,4,"Starbucks"
249,2,"Starbucks"
250,2,"Starbucks"
251,-2,"Starbucks"
252,1,"Starbucks"
253,-3,"Starbucks"
254,-1,"Starbucks"
259,2,"Starbucks"
262,-0.5,"Starbucks"
265,-1,"Starbucks"
267,-1,"Starbucks"
268,2.5,"Starbucks"
271,4,"Starbucks"
274,2,"Starbucks"
277,2,"Starbucks"
282,3,"Starbucks"
285,1.5,"Starbucks"
287,2,"Starbucks"
288,-1,"Starbucks"
289,2,"Starbucks"
290,2,"Starbucks"
291,3,"Starbucks"
293,2,"Starbucks"
294,1.5,"Starbucks"
295,2,"Starbucks"
297,3,"Starbucks"
298,4,"Starbucks"
300,3,"Starbucks"
302,1,"Starbucks"
303,-2,"Starbucks"
304,-1,"Starbucks"
306,-1,"Starbucks"
307,1,"Starbucks"
309,-2,"Starbucks"
311,1,"Starbucks"
314,2,"Starbucks"
317,-2,"Starbucks"
320,-2,"Starbucks"
322,-1,"Starbucks"
324,2,"Starbucks"
327,0.5,"Starbucks"
328,3,"Starbucks"
332,2,"Starbucks"
336,2,"Starbucks"
338,-1,"Starbucks"
339,2.5,"Starbucks"
347,-1,"Starbucks"
350,-2,"Starbucks"
352,2,"Starbucks"
356,-2,"Starbucks"
358,0.333333333333333,"Starbucks"
361,-4,"Starbucks"
362,2,"Starbucks"
363,-1,"Starbucks"
364,3,"Starbucks"
365,-0.666666666666667,"Starbucks"
366,-2.5,"Starbucks"
367,-1,"Starbucks"
368,-1,"Starbucks"
371,4,"Starbucks"
375,3,"Starbucks"
377,2,"Starbucks"
379,-0.5,"Starbucks"
383,-1,"Starbucks"
384,-4,"Starbucks"
386,3,"Starbucks"
387,2,"Starbucks"
390,0,"Starbucks"
391,-1,"Starbucks"
392,2,"Starbucks"
393,2,"Starbucks"
395,1,"Starbucks"
397,2,"Starbucks"
398,-1,"Starbucks"
399,-2,"Starbucks"
400,3,"Starbucks"
401,2,"Starbucks"
402,2,"Starbucks"
404,1,"Starbucks"
406,-1,"Starbucks"
407,3.5,"Starbucks"
410,0.5,"Starbucks"
411,4,"Starbucks"
416,2,"Starbucks"
417,3,"Starbucks"
422,2,"Starbucks"
424,3,"Starbucks"
426,-1,"Starbucks"
432,2,"Starbucks"
433,0,"Starbucks"
437,0,"Starbucks"
439,3,"Starbucks"
441,-1,"Starbucks"
442,-1,"Starbucks"
445,-4,"Starbucks"
447,3,"Starbucks"
448,0,"Starbucks"
450,1,"Starbucks"
452,0,"Starbucks"
453,1.5,"Starbucks"
455,3,"Starbucks"
456,2,"Starbucks"
461,-1,"Starbucks"
463,3,"Starbucks"
464,3,"Starbucks"
466,3,"Starbucks"
467,2,"Starbucks"
469,-1,"Starbucks"
470,1.5,"Starbucks"
471,1,"Starbucks"
472,2,"Starbucks"
473,2,"Starbucks"
474,1,"Starbucks"
476,2,"Starbucks"
480,2,"Starbucks"
481,1,"Starbucks"
483,3,"Starbucks"
488,2.33333333333333,"Starbucks"
490,3,"Starbucks"
491,3,"Starbucks"
492,-1,"Starbucks"
493,3,"Starbucks"
494,-1,"Starbucks"
498,3,"Starbucks"
500,-2,"Starbucks"
501,2,"Starbucks"
502,0,"Starbucks"
504,3,"Starbucks"
505,2,"Starbucks"
509,-1,"Starbucks"
511,-0.5,"Starbucks"
513,2,"Starbucks"
517,-1,"Starbucks"
518,2,"Starbucks"
519,-0.5,"Starbucks"
520,-4,"Starbucks"
521,4,"Starbucks"
522,3,"Starbucks"
525,1,"Starbucks"
526,1,"Starbucks"
527,-2,"Starbucks"
529,-1,"Starbucks"
533,0.666666666666667,"Starbucks"
535,-4,"Starbucks"
536,2,"Starbucks"
538,2,"Starbucks"
539,1.66666666666667,"Starbucks"
542,0,"Starbucks"
545,-2,"Starbucks"
546,3,"Starbucks"
549,-1,"Starbucks"
554,2.5,"Starbucks"
559,2,"Starbucks"
564,-1,"Starbucks"
566,-2,"Starbucks"
568,1.5,"Starbucks"
571,2,"Starbucks"
573,2,"Starbucks"
574,0,"Starbucks"
576,1,"Starbucks"
580,-2,"Starbucks"
581,3,"Starbucks"
582,-3,"Starbucks"
583,1,"Starbucks"
584,1,"Starbucks"
588,1.5,"Starbucks"
589,-1,"Starbucks"
590,3,"Starbucks"
591,-3,"Starbucks"
592,-1,"Starbucks"
593,-1,"Starbucks"
596,-1,"Starbucks"
597,2,"Starbucks"
599,1,"Starbucks"
600,1,"Starbucks"
603,0,"Starbucks"
604,3.5,"Starbucks"
605,0,"Starbucks"
607,2.5,"Starbucks"
608,0,"Starbucks"
609,0,"Starbucks"
611,-1,"Starbucks"
613,2,"Starbucks"
615,-3,"Starbucks"
620,2,"Starbucks"
621,3,"Starbucks"
624,-1,"Starbucks"
625,-1,"Starbucks"
627,3,"Starbucks"
631,0,"Starbucks"
633,-2,"Starbucks"
635,0,"Starbucks"
637,0,"Starbucks"
638,1,"Starbucks"
641,4,"Starbucks"
642,2,"Starbucks"
644,-1,"Starbucks"
646,2,"Starbucks"
650,-1,"Starbucks"
651,2,"Starbucks"
652,-1,"Starbucks"
653,0.5,"Starbucks"
654,3.5,"Starbucks"
656,2,"Starbucks"
657,3,"Starbucks"
660,-3,"Starbucks"
663,-1,"Starbucks"
666,1,"Starbucks"
670,0,"Starbucks"
676,4,"Starbucks"
682,-1,"Starbucks"
683,-2,"Starbucks"
684,-1,"Starbucks"
687,3,"Starbucks"
688,2,"Starbucks"
690,1.5,"Starbucks"
692,1,"Starbucks"
693,1.5,"Starbucks"
694,-3,"Starbucks"
695,3,"Starbucks"
698,-1,"Starbucks"
700,4,"Starbucks"
701,2,"Starbucks"
706,1.5,"Starbucks"
707,1,"Starbucks"
710,4,"Starbucks"
713,2,"Starbucks"
715,-1,"Starbucks"
717,1,"Starbucks"
722,1,"Starbucks"
726,2,"Starbucks"
727,2,"Starbucks"
728,-1,"Starbucks"
733,1.5,"Starbucks"
738,2,"Starbucks"
741,1,"Starbucks"
743,1,"Starbucks"
744,1,"Starbucks"
745,2,"Starbucks"
747,3,"Starbucks"
749,1,"Starbucks"
751,1.5,"Starbucks"
752,-2,"Starbucks"
753,3,"Starbucks"
757,4,"Starbucks"
758,-3,"Starbucks"
759,2,"Starbucks"
760,1,"Starbucks"
761,-3,"Starbucks"
763,-1,"Starbucks"
764,-3.66666666666667,"Starbucks"
767,2.5,"Starbucks"
769,1,"Starbucks"
770,-3,"Starbucks"
773,-3,"Starbucks"
774,-3,"Starbucks"
775,1,"Starbucks"
776,1,"Starbucks"
777,1,"Starbucks"
778,3,"Starbucks"
779,3,"Starbucks"
781,1,"Starbucks"
782,3,"Starbucks"
784,2,"Starbucks"
785,1,"Starbucks"
786,-3,"Starbucks"
787,2,"Starbucks"
789,2,"Starbucks"
792,1,"Starbucks"
795,2,"Starbucks"
796,2,"Starbucks"
799,3.5,"Starbucks"
804,-2,"Starbucks"
805,-2,"Starbucks"
807,2,"Starbucks"
809,2,"Starbucks"
812,-1,"Starbucks"
813,1,"Starbucks"
814,-3,"Starbucks"
817,2.5,"Starbucks"
819,2,"Starbucks"
820,2,"Starbucks"
821,3,"Starbucks"
822,0,"Starbucks"
824,2,"Starbucks"
826,1,"Starbucks"
829,4,"Starbucks"
830,2,"Starbucks"
832,-4,"Starbucks"
834,-1,"Starbucks"
835,2,"Starbucks"
836,-2,"Starbucks"
838,1,"Starbucks"
839,2.5,"Starbucks"
840,2,"Starbucks"
841,2,"Starbucks"
842,1,"Starbucks"
843,0,"Starbucks"
846,-1,"Starbucks"
847,1,"Starbucks"
848,1.5,"Starbucks"
851,0,"Starbucks"
853,-1,"Starbucks"
854,1.5,"Starbucks"
856,2,"Starbucks"
857,-1,"Starbucks"
859,2,"Starbucks"
860,1.5,"Starbucks"
862,3,"Starbucks"
866,-2,"Starbucks"
867,1,"Starbucks"
868,2,"Starbucks"
870,4,"Starbucks"
871,1.5,"Starbucks"
874,2,"Starbucks"
878,1,"Starbucks"
879,3,"Starbucks"
881,0.5,"Starbucks"
882,2,"Starbucks"
890,-1,"Starbucks"
892,2,"Starbucks"
893,3.5,"Starbucks"
894,3,"Starbucks"
895,2.5,"Starbucks"
896,4,"Starbucks"
899,2,"Starbucks"
900,-1,"Starbucks"
904,3,"Starbucks"
905,3,"Starbucks"
906,1,"Starbucks"
907,1,"Starbucks"
912,-0.333333333333333,"Starbucks"
914,2,"Starbucks"
915,2,"Starbucks"
917,3,"Starbucks"
919,3,"Starbucks"
922,1.33333333333333,"Starbucks"
924,1,"Starbucks"
925,-2,"Starbucks"
927,3,"Starbucks"
928,3,"Starbucks"
929,2.5,"Starbucks"
930,3,"Starbucks"
932,-1.5,"Starbucks"
936,1.5,"Starbucks"
938,3,"Starbucks"
939,-1,"Starbucks"
940,2,"Starbucks"
941,-1,"Starbucks"
942,3,"Starbucks"
943,-0.5,"Starbucks"
946,-2,"Starbucks"
947,2,"Starbucks"
948,-1.5,"Starbucks"
949,-3,"Starbucks"
950,2,"Starbucks"
951,2,"Starbucks"
953,3,"Starbucks"
954,-2,"Starbucks"
956,2,"Starbucks"
957,2,"Starbucks"
960,2,"Starbucks"
962,1,"Starbucks"
964,-1,"Starbucks"
965,2,"Starbucks"
969,2,"Starbucks"
970,3,"Starbucks"
973,2,"Starbucks"
976,-1,"Starbucks"
980,2,"Starbucks"
981,1.5,"Starbucks"
982,2,"Starbucks"
984,2,"Starbucks"
985,2,"Starbucks"
986,2,"Starbucks"
987,2,"Starbucks"
988,3,"Starbucks"
990,1,"Starbucks"
994,3,"Starbucks"
996,1.5,"Starbucks"
997,2.25,"Starbucks"
999,1.5,"Starbucks"
2,3,"DunkinDonuts"
3,3,"DunkinDonuts"
4,3,"DunkinDonuts"
5,3,"DunkinDonuts"
7,3,"DunkinDonuts"
9,3,"DunkinDonuts"
10,-2,"DunkinDonuts"
11,1,"DunkinDonuts"
15,3,"DunkinDonuts"
17,3,"DunkinDonuts"
18,3,"DunkinDonuts"
20,-0.5,"DunkinDonuts"
21,3,"DunkinDonuts"
23,3,"DunkinDonuts"
24,3,"DunkinDonuts"
25,3,"DunkinDonuts"
31,1,"DunkinDonuts"
32,4,"DunkinDonuts"
33,-1,"DunkinDonuts"
34,2,"DunkinDonuts"
36,2,"DunkinDonuts"
40,1,"DunkinDonuts"
42,3,"DunkinDonuts"
44,2,"DunkinDonuts"
49,-3.5,"DunkinDonuts"
51,-2,"DunkinDonuts"
52,2,"DunkinDonuts"
53,3,"DunkinDonuts"
54,-3,"DunkinDonuts"
56,4,"DunkinDonuts"
57,2,"DunkinDonuts"
58,3,"DunkinDonuts"
60,1,"DunkinDonuts"
61,1,"DunkinDonuts"
62,4,"DunkinDonuts"
64,2,"DunkinDonuts"
66,-4,"DunkinDonuts"
69,3,"DunkinDonuts"
72,4,"DunkinDonuts"
75,4,"DunkinDonuts"
77,-3,"DunkinDonuts"
85,-2,"DunkinDonuts"
88,1,"DunkinDonuts"
92,2.5,"DunkinDonuts"
93,0.5,"DunkinDonuts"
94,3,"DunkinDonuts"
101,-1,"DunkinDonuts"
102,1.33333333333333,"DunkinDonuts"
105,3,"DunkinDonuts"
106,-1,"DunkinDonuts"
107,1,"DunkinDonuts"
108,-3,"DunkinDonuts"
110,1,"DunkinDonuts"
112,2,"DunkinDonuts"
114,3,"DunkinDonuts"
123,4,"DunkinDonuts"
124,-3,"DunkinDonuts"
125,-2,"DunkinDonuts"
130,-0.5,"DunkinDonuts"
131,3,"DunkinDonuts"
135,2,"DunkinDonuts"
140,3,"DunkinDonuts"
141,1.5,"DunkinDonuts"
144,3,"DunkinDonuts"
147,-2,"DunkinDonuts"
148,-4,"DunkinDonuts"
149,0.5,"DunkinDonuts"
150,-2,"DunkinDonuts"
151,2,"DunkinDonuts"
152,-2,"DunkinDonuts"
154,2,"DunkinDonuts"
160,3,"DunkinDonuts"
162,2.5,"DunkinDonuts"
163,-2,"DunkinDonuts"
167,3,"DunkinDonuts"
173,-2,"DunkinDonuts"
174,-1,"DunkinDonuts"
175,2,"DunkinDonuts"
176,-3,"DunkinDonuts"
180,-3,"DunkinDonuts"
181,-3,"DunkinDonuts"
183,-1,"DunkinDonuts"
185,-2.5,"DunkinDonuts"
186,0.5,"DunkinDonuts"
191,4,"DunkinDonuts"
193,2.66666666666667,"DunkinDonuts"
196,-0.5,"DunkinDonuts"
202,3,"DunkinDonuts"
203,1,"DunkinDonuts"
204,-3,"DunkinDonuts"
208,3,"DunkinDonuts"
209,3,"DunkinDonuts"
211,2,"DunkinDonuts"
213,1,"DunkinDonuts"
214,-4,"DunkinDonuts"
218,1,"DunkinDonuts"
221,3,"DunkinDonuts"
222,-1,"DunkinDonuts"
224,3,"DunkinDonuts"
225,-2,"DunkinDonuts"
226,-2.5,"DunkinDonuts"
229,-2,"DunkinDonuts"
230,3,"DunkinDonuts"
232,3,"DunkinDonuts"
234,2,"DunkinDonuts"
237,2,"DunkinDonuts"
238,2,"DunkinDonuts"
239,-4,"DunkinDonuts"
240,-4,"DunkinDonuts"
245,-0.666666666666667,"DunkinDonuts"
246,-2,"DunkinDonuts"
248,3,"DunkinDonuts"
249,1,"DunkinDonuts"
255,3,"DunkinDonuts"
257,-1,"DunkinDonuts"
260,3,"DunkinDonuts"
261,-2,"DunkinDonuts"
262,1,"DunkinDonuts"
263,-1,"DunkinDonuts"
265,-4,"DunkinDonuts"
266,3,"DunkinDonuts"
269,2.5,"DunkinDonuts"
270,2,"DunkinDonuts"
272,-2,"DunkinDonuts"
275,-3,"DunkinDonuts"
277,-2,"DunkinDonuts"
278,-2.5,"DunkinDonuts"
279,2,"DunkinDonuts"
280,3,"DunkinDonuts"
281,0,"DunkinDonuts"
287,2,"DunkinDonuts"
293,-2,"DunkinDonuts"
296,1,"DunkinDonuts"
298,-2,"DunkinDonuts"
299,2,"DunkinDonuts"
302,1,"DunkinDonuts"
304,-1,"DunkinDonuts"
309,2,"DunkinDonuts"
312,1,"DunkinDonuts"
315,-3,"DunkinDonuts"
316,-4,"DunkinDonuts"
318,1.5,"DunkinDonuts"
319,2,"DunkinDonuts"
322,-2,"DunkinDonuts"
326,-2,"DunkinDonuts"
329,-0.5,"DunkinDonuts"
330,2,"DunkinDonuts"
331,-1.33333333333333,"DunkinDonuts"
333,3,"DunkinDonuts"
337,3,"DunkinDonuts"
339,-3,"DunkinDonuts"
341,-2,"DunkinDonuts"
342,2.75,"DunkinDonuts"
343,1,"DunkinDonuts"
344,-4,"DunkinDonuts"
345,2,"DunkinDonuts"
352,-1,"DunkinDonuts"
353,-2,"DunkinDonuts"
354,-1,"DunkinDonuts"
355,-3,"DunkinDonuts"
357,-2,"DunkinDonuts"
358,-2,"DunkinDonuts"
365,2,"DunkinDonuts"
374,2,"DunkinDonuts"
376,4,"DunkinDonuts"
377,-4,"DunkinDonuts"
378,-2,"DunkinDonuts"
380,0,"DunkinDonuts"
383,2,"DunkinDonuts"
384,-4,"DunkinDonuts"
386,-3,"DunkinDonuts"
390,-4,"DunkinDonuts"
396,-1,"DunkinDonuts"
398,3,"DunkinDonuts"
399,2,"DunkinDonuts"
400,-2,"DunkinDonuts"
401,3,"DunkinDonuts"
402,1,"DunkinDonuts"
408,-4,"DunkinDonuts"
427,3,"DunkinDonuts"
428,-2,"DunkinDonuts"
429,3,"DunkinDonuts"
431,2,"DunkinDonuts"
436,3,"DunkinDonuts"
441,-3,"DunkinDonuts"
442,2.75,"DunkinDonuts"
443,2.75,"DunkinDonuts"
444,-2,"DunkinDonuts"
449,2,"DunkinDonuts"
453,0,"DunkinDonuts"
454,0,"DunkinDonuts"
455,0,"DunkinDonuts"
460,-2,"DunkinDonuts"
463,-1.5,"DunkinDonuts"
464,4,"DunkinDonuts"
465,3,"DunkinDonuts"
469,2,"DunkinDonuts"
473,3,"DunkinDonuts"
474,2.5,"DunkinDonuts"
476,3,"DunkinDonuts"
478,1,"DunkinDonuts"
479,3,"DunkinDonuts"
480,3,"DunkinDonuts"
483,3,"DunkinDonuts"
490,-0.333333333333333,"DunkinDonuts"
495,0.75,"DunkinDonuts"
496,2,"DunkinDonuts"
499,-2,"DunkinDonuts"
500,-2,"DunkinDonuts"
504,2,"DunkinDonuts"
508,1,"DunkinDonuts"
511,1,"DunkinDonuts"
520,3,"DunkinDonuts"
521,2,"DunkinDonuts"
522,2,"DunkinDonuts"
523,1,"DunkinDonuts"
524,-2,"DunkinDonuts"
528,-4,"DunkinDonuts"
532,4,"DunkinDonuts"
535,2,"DunkinDonuts"
536,-3,"DunkinDonuts"
538,4,"DunkinDonuts"
540,2,"DunkinDonuts"
544,-3,"DunkinDonuts"
550,3,"DunkinDonuts"
551,3,"DunkinDonuts"
552,3,"DunkinDonuts"
553,2,"DunkinDonuts"
555,3,"DunkinDonuts"
556,3.5,"DunkinDonuts"
557,1,"DunkinDonuts"
559,2,"DunkinDonuts"
565,-3,"DunkinDonuts"
567,-3,"DunkinDonuts"
569,-2,"DunkinDonuts"
570,3,"DunkinDonuts"
571,2,"DunkinDonuts"
572,-2,"DunkinDonuts"
575,-3,"DunkinDonuts"
576,-3,"DunkinDonuts"
578,3,"DunkinDonuts"
582,2,"DunkinDonuts"
584,0,"DunkinDonuts"
585,0.5,"DunkinDonuts"
586,-2.5,"DunkinDonuts"
587,0.666666666666667,"DunkinDonuts"
589,2,"DunkinDonuts"
593,2,"DunkinDonuts"
594,2,"DunkinDonuts"
595,1,"DunkinDonuts"
596,2,"DunkinDonuts"
597,1,"DunkinDonuts"
600,-2.5,"DunkinDonuts"
601,4,"DunkinDonuts"
605,2,"DunkinDonuts"
608,-2,"DunkinDonuts"
610,2.5,"DunkinDonuts"
611,-1,"DunkinDonuts"
614,2,"DunkinDonuts"
615,-3,"DunkinDonuts"
618,4,"DunkinDonuts"
619,3,"DunkinDonuts"
623,3,"DunkinDonuts"
626,2,"DunkinDonuts"
629,-1,"DunkinDonuts"
631,-3,"DunkinDonuts"
639,3,"DunkinDonuts"
641,2.66666666666667,"DunkinDonuts"
644,-3,"DunkinDonuts"
646,4,"DunkinDonuts"
655,-3,"DunkinDonuts"
658,3,"DunkinDonuts"
659,-3,"DunkinDonuts"
660,2,"DunkinDonuts"
661,3,"DunkinDonuts"
669,-3,"DunkinDonuts"
674,1,"DunkinDonuts"
676,-2,"DunkinDonuts"
678,3,"DunkinDonuts"
686,3,"DunkinDonuts"
688,2,"DunkinDonuts"
693,2,"DunkinDonuts"
696,2,"DunkinDonuts"
697,-2,"DunkinDonuts"
698,2.66666666666667,"DunkinDonuts"
699,2,"DunkinDonuts"
702,2,"DunkinDonuts"
705,2,"DunkinDonuts"
706,2.66666666666667,"DunkinDonuts"
714,-2,"DunkinDonuts"
720,-1.33333333333333,"DunkinDonuts"
722,1,"DunkinDonuts"
723,1,"DunkinDonuts"
726,4,"DunkinDonuts"
727,1,"DunkinDonuts"
732,2.5,"DunkinDonuts"
733,-3,"DunkinDonuts"
734,-2,"DunkinDonuts"
741,3,"DunkinDonuts"
745,3,"DunkinDonuts"
748,0.333333333333333,"DunkinDonuts"
750,1,"DunkinDonuts"
753,3,"DunkinDonuts"
757,1,"DunkinDonuts"
758,-1,"DunkinDonuts"
764,-4,"DunkinDonuts"
765,1,"DunkinDonuts"
766,4,"DunkinDonuts"
768,-4,"DunkinDonuts"
769,2,"DunkinDonuts"
770,-3,"DunkinDonuts"
772,2,"DunkinDonuts"
773,3,"DunkinDonuts"
774,1,"DunkinDonuts"
777,3,"DunkinDonuts"
779,1,"DunkinDonuts"
780,-2,"DunkinDonuts"
782,-1,"DunkinDonuts"
783,1,"DunkinDonuts"
784,-1,"DunkinDonuts"
785,-1,"DunkinDonuts"
786,-3,"DunkinDonuts"
788,-2.5,"DunkinDonuts"
789,-2.5,"DunkinDonuts"
791,3,"DunkinDonuts"
796,-1,"DunkinDonuts"
797,1,"DunkinDonuts"
801,3,"DunkinDonuts"
808,-1.5,"DunkinDonuts"
809,-3.66666666666667,"DunkinDonuts"
811,-4,"DunkinDonuts"
812,-2,"DunkinDonuts"
815,0.5,"DunkinDonuts"
817,1,"DunkinDonuts"
818,1,"DunkinDonuts"
819,1,"DunkinDonuts"
821,-1,"DunkinDonuts"
822,3,"DunkinDonuts"
825,-1,"DunkinDonuts"
827,-2,"DunkinDonuts"
830,1,"DunkinDonuts"
831,-3.5,"DunkinDonuts"
835,3,"DunkinDonuts"
836,3,"DunkinDonuts"
839,-1,"DunkinDonuts"
840,3,"DunkinDonuts"
843,4,"DunkinDonuts"
847,-1,"DunkinDonuts"
849,-4,"DunkinDonuts"
851,2,"DunkinDonuts"
854,3,"DunkinDonuts"
855,-3.8,"DunkinDonuts"
857,3,"DunkinDonuts"
858,3,"DunkinDonuts"
859,4,"DunkinDonuts"
862,-2,"DunkinDonuts"
864,2,"DunkinDonuts"
867,1,"DunkinDonuts"
871,3,"DunkinDonuts"
872,2,"DunkinDonuts"
873,-2,"DunkinDonuts"
874,-1,"DunkinDonuts"
875,-2,"DunkinDonuts"
876,0,"DunkinDonuts"
878,-1,"DunkinDonuts"
879,2,"DunkinDonuts"
880,-2,"DunkinDonuts"
882,-1,"DunkinDonuts"
884,1.66666666666667,"DunkinDonuts"
885,3.5,"DunkinDonuts"
887,-2,"DunkinDonuts"
893,2,"DunkinDonuts"
899,3,"DunkinDonuts"
903,-1,"DunkinDonuts"
905,2.5,"DunkinDonuts"
906,-1,"DunkinDonuts"
914,1,"DunkinDonuts"
915,3,"DunkinDonuts"
919,3,"DunkinDonuts"
921,3,"DunkinDonuts"
923,3,"DunkinDonuts"
924,2,"DunkinDonuts"
926,0,"DunkinDonuts"
927,-1.66666666666667,"DunkinDonuts"
928,4,"DunkinDonuts"
932,-1,"DunkinDonuts"
933,-2,"DunkinDonuts"
934,1,"DunkinDonuts"
943,2,"DunkinDonuts"
948,2.66666666666667,"DunkinDonuts"
949,1,"DunkinDonuts"
953,2,"DunkinDonuts"
954,3,"DunkinDonuts"
955,-3,"DunkinDonuts"
957,-1,"DunkinDonuts"
958,3,"DunkinDonuts"
959,2,"DunkinDonuts"
963,3.5,"DunkinDonuts"
965,-3,"DunkinDonuts"
966,4,"DunkinDonuts"
969,-2,"DunkinDonuts"
970,0.75,"DunkinDonuts"
972,1,"DunkinDonuts"
974,1,"DunkinDonuts"
975,-4,"DunkinDonuts"
976,-2,"DunkinDonuts"
979,-2,"DunkinDonuts"
980,2,"DunkinDonuts"
981,3,"DunkinDonuts"
985,-2,"DunkinDonuts"
988,-2,"DunkinDonuts"
989,-1,"DunkinDonuts"
990,2.5,"DunkinDonuts"
994,2,"DunkinDonuts"
996,3,"DunkinDonuts"
1000,3,"DunkinDonuts"
